"단어","풀이"
"가게",""
"가격","價格"
"가구","家口"
"가구","家具"
"가까워지다",""
"가까이",""
"가까이",""
"가깝다",""
"가꾸다",""
"가끔",""
"가난",""
"가난하다",""
"가늘다",""
"가능","可能"
"가능성","可能性"
"가능하다","可能-"
"가능해지다","可能-"
"가다",""
"가다",""
"가득","~ 차다"
"가득하다",""
"가득히",""
"가라앉다",""
"가려지다",""
"가령","假令"
"가로","~와 세로"
"가로등","街路燈"
"가로막다",""
"가로수","街路樹"
"가루","분필 ~"
"가르다",""
"가르치다",""
"가르침",""
"가리다","시야를 ~"
"가리다","시비를 ~"
"가리키다",""
"가만",""
"가만있다",""
"가만히",""
"가뭄",""
"가방","~을 메다"
"가볍다",""
"가사","歌詞"
"가상","假想"
"가수","歌手"
"가스","gas"
"가슴",""
"가슴속",""
"가요","歌謠"
"가운데",""
"가위","기구"
"가을",""
"가이드","guide"
"가입","加入"
"가입자","加入者"
"가입하다","加入-"
"가장",""
"가장","家長"
"가정","家庭"
"가정","假定"
"가정교사","家庭敎師"
"가져가다",""
"가져다주다",""
"가져오다",""
"가족","家族"
"가죽",""
"가지","~를 치다"
"가지","한 ~"
"가지다",""
"가지다",""
"가짜","假-"
"가치","價値"
"가치관","價値觀"
"가톨릭","Catholic"
"가하다","加-"
"각","各"
"각각","各各"
"각각","各各"
"각국","各國"
"각기","各其"
"각오","覺悟"
"각자","各自"
"각자","各自"
"각종","各種"
"간","음식의 ~을 보다"
"간","肝"
"간","間. 서울과 부산 ~"
"간격","間隔"
"간단하다","簡單-"
"간단히","簡單-"
"간부","幹部"
"간섭","干涉"
"간식","間食"
"간신히","艱辛-"
"간장","-醬"
"간접","間接"
"간접적","間接的"
"간판","看板"
"간편하다","簡便-"
"간호","看護"
"간호사","看護師"
"간혹","間或"
"갇히다",""
"갈다","바꾸다"
"갈다","문지르다"
"갈등","葛藤"
"갈비",""
"갈비탕","-湯"
"갈색","褐色"
"갈수록",""
"갈아입다",""
"갈아타다",""
"갈증","渴症"
"감","과일"
"감","感"
"감각","感覺"
"감기","感氣"
"감다","눈을 ~"
"감다","실을 ~"
"감독","監督"
"감동","感動"
"감동적","感動的"
"감사","感謝"
"감사하다","感謝-"
"감사하다","感謝-"
"감상","鑑賞"
"감상하다","鑑賞-"
"감소","減少"
"감소되다","減少-"
"감소하다","減少-"
"감수성","感受性"
"감싸다",""
"감옥","監獄"
"감자",""
"감정","感情"
"감정적","感情的"
"감추다",""
"감히","敢-"
"갑","匣"
"갑자기",""
"갑작스럽다",""
"값",""
"값싸다",""
"강","江"
"강남","江南"
"강당","講堂"
"강도","强度"
"강도","强盜"
"강력하다","强力-"
"강력히","强力-"
"강렬하다","强烈-"
"강물","江-"
"강변","江邊"
"강북","江北"
"강사","講師"
"강수량","降水量"
"강아지",""
"강요하다","强要-"
"강원도","江原道"
"강의","講義"
"강의하다","講義-"
"강제","强制"
"강조","强調"
"강조하다","强調-"
"강하다","强-"
"강화하다","强化-"
"갖가지",""
"갖다","가지다"
"갖다","가지다"
"갖추다",""
"같다",""
"같이",""
"같이하다",""
"갚다",""
"개","동물"
"개","個"
"개개인","個個人"
"개구리",""
"개국","個國"
"개나리",""
"개다","날이 ~"
"개미","곤충"
"개발되다","開發-"
"개발하다","開發-"
"개방","開放"
"개방되다","開放-"
"개방하다","開放-"
"개별","個別"
"개선","改善"
"개선되다","改善-"
"개선하다","改善-"
"개성","個性"
"개월","個月"
"개인","個人"
"개인적","個人的"
"객관적","客觀的"
"걔","그 아이"
"거","것"
"거","것"
"거기",""
"거꾸로",""
"거대하다","巨大-"
"거두다",""
"거들다",""
"거듭",""
"거리","길~"
"거리","반찬~"
"거리","距離"
"거부하다","拒否-"
"거실","居室"
"거액","巨額"
"거울",""
"거의",""
"거절하다","拒絶-"
"거짓",""
"거짓말",""
"거치다",""
"거칠다",""
"거품",""
"걱정",""
"걱정되다",""
"걱정스럽다",""
"걱정하다",""
"건","件"
"건강","健康"
"건강하다","健康-"
"건너",""
"건너가다",""
"건너다",""
"건너오다",""
"건너편","-便"
"건넌방","-房"
"건네다",""
"건네주다",""
"건드리다",""
"건물","建物"
"건설","建設"
"건설되다","建設-"
"건설하다","建設-"
"건전하다","健全-"
"건조","乾燥"
"건조하다","乾燥-"
"건지다",""
"건축","建築"
"걷기",""
"걷다","느릿느릿 ~"
"걷다","소매를 ~"
"걷다","빨래를 ~"
"걸다","옷을 ~"
"걸리다","걸다'의 피동사"
"걸어가다",""
"걸어오다","집까지 ~"
"걸음",""
"걸치다",""
"검다","색깔이 ~"
"검사","檢事"
"검사","檢査"
"검은색","-色"
"검정색","-色"
"검토","檢討"
"겁","怯"
"겁나다","怯-"
"것",""
"겉",""
"게","동물"
"게다가",""
"게시판","揭示板"
"게으르다",""
"게임","game"
"겨우",""
"겨울",""
"겨울철",""
"겨자",""
"겪다",""
"견디다",""
"견해","見解"
"결과","結果"
"결과적","結果的"
"결국","結局"
"결론","結論"
"결석","缺席"
"결석하다","缺席-"
"결승","決勝"
"결심","決心"
"결심하다","決心-"
"결정","決定"
"결정되다","決定-"
"결정하다","決定-"
"결코","決-"
"결혼","結婚"
"결혼식","結婚式"
"결혼하다","結婚-"
"경계","境界"
"경고","警告"
"경고하다","警告-"
"경기","景氣"
"경기","競技"
"경기도","京畿道"
"경기장","競技場"
"경력","經歷"
"경복궁","景福宮"
"경비","經費"
"경상도","慶尙道"
"경영","經營"
"경영하다","經營-"
"경우","境遇"
"경쟁","競爭"
"경쟁력","競爭力"
"경제","經濟"
"경제력","經濟力"
"경제적","經濟的"
"경제학","經濟學"
"경주","慶州"
"경찰","警察"
"경찰관","警察官"
"경찰서","警察署"
"경치","景致"
"경향","傾向"
"경험","經驗"
"경험하다","經驗-"
"곁",""
"계곡","溪谷"
"계단","階段"
"계란","鷄卵"
"계산","計算"
"계산기","計算器"
"계산하다","計算-"
"계속","繼續"
"계속되다","繼續-"
"계속하다","繼續-"
"계시다",""
"계시다",""
"계약","契約"
"계절","季節"
"계좌","計座"
"계층","階層"
"계획","計劃"
"계획하다","計劃-"
"고개","~를 돌리다"
"고개","~ 너머"
"고객","顧客"
"고교","高校"
"고구려","高句麗"
"고구마",""
"고궁","古宮"
"고급","高級"
"고급스럽다","高級-"
"고기",""
"고등학교","高等學校"
"고등학생","高等學生"
"고려","高麗"
"고려하다","考慮-"
"고르다","뽑다"
"고르다","차이가 없다"
"고맙다",""
"고모","姑母"
"고모부","姑母夫"
"고무신",""
"고민","苦悶"
"고민하다","苦悶-"
"고생","苦生"
"고생하다","苦生-"
"고소하다","맛이 ~"
"고속","高速"
"고속도로","高速道路"
"고속버스","高速bus"
"고양이",""
"고요하다",""
"고작",""
"고장","지역"
"고장","故障"
"고전","古典"
"고집","固執"
"고집하다","固執-"
"고추",""
"고추장","-醬"
"고춧가루",""
"고치다",""
"고통","苦痛"
"고통스럽다","苦痛-"
"고프다",""
"고함","高喊"
"고향","故鄕"
"곡","曲"
"곡식","穀食"
"곤란하다","困難-"
"곧",""
"곧다",""
"곧바로",""
"곧이어",""
"곧잘",""
"곧장",""
"골","goal"
"골고루",""
"골목",""
"골목길",""
"골짜기",""
"골치",""
"골프","golf"
"골프장","golf場"
"곰","동물"
"곱다","아름답다"
"곳",""
"곳곳",""
"공","축구~"
"공간","空間"
"공개","公開"
"공개하다","公開-"
"공격","攻擊"
"공격하다","攻擊-"
"공공","公共"
"공군","空軍"
"공급","供給"
"공기","空氣"
"공기","空器"
"공동","共同"
"공무원","公務員"
"공부","工夫"
"공부하다","工夫-"
"공사","工事"
"공식","公式"
"공식적","公式的"
"공업","工業"
"공연","公演"
"공연되다","公演-"
"공연장","公演場"
"공연하다","公演-"
"공연히","空然-"
"공원","公園"
"공장","工場"
"공주","公主"
"공중","空中"
"공중전화","公衆電話"
"공짜","空-"
"공책","空冊"
"공통","共通"
"공통되다","共通-"
"공통적","共通的"
"공통점","共通點"
"공포","恐怖"
"공항","空港"
"공항버스","空港bus"
"공해","公害"
"공휴일","公休日"
"과","科"
"과","課"
"과거","科擧"
"과거","過去"
"과목","科目"
"과연","果然"
"과외","課外"
"과일",""
"과자","菓子"
"과장","課長"
"과정","過程"
"과정","課程"
"과제","課題"
"과학","科學"
"과학자","科學者"
"과학적","科學的"
"관객","觀客"
"관계","關係"
"관계되다","關係-"
"관계없이","關係-"
"관계자","關係者"
"관광","觀光"
"관광객","觀光客"
"관광버스","觀光bus"
"관광지","觀光地"
"관념","觀念"
"관람","觀覽"
"관람객","觀覽客"
"관련","關聯"
"관련되다","關聯-"
"관련하다","關聯-"
"관리","官吏"
"관리","管理"
"관리하다","管理-"
"관습","慣習"
"관심","關心"
"관심사","關心事"
"관점","觀點"
"관찰","觀察"
"관찰하다","觀察-"
"관하다","關-"
"광경","光景"
"광고","廣告"
"광장","廣場"
"광주","光州"
"괜찮다",""
"괜히",""
"괴로움",""
"괴로워하다",""
"괴롭다",""
"괴롭히다",""
"굉장하다","宏壯-"
"굉장히","宏壯-"
"교과서","敎科書"
"교내","校內"
"교대","交代"
"교류","交流"
"교문","校門"
"교복","校服"
"교사","敎師"
"교수","敎授"
"교시","校時"
"교실","敎室"
"교양","敎養"
"교외","郊外"
"교육","敎育"
"교육비","敎育費"
"교육자","敎育者"
"교장","校長"
"교재","敎材"
"교직","敎職"
"교체","交替"
"교통","交通"
"교통사고","交通事故"
"교포","僑胞"
"교환","交換"
"교환하다","交換-"
"교회","敎會"
"교훈","敎訓"
"구","九"
"구","區"
"구경",""
"구경하다",""
"구두",""
"구르다","바위가 ~"
"구름",""
"구멍",""
"구별","區別"
"구별되다","區別-"
"구별하다","區別-"
"구분","區分"
"구분되다","區分-"
"구분하다","區分-"
